,gold_questions,fqd_german,fqd_italian,fqd_french,fqd_chineese,fqd_spanish
932,Family members who are in the process of waiting for genetic testing,Family members awaiting genetic testing results but have been accused of child,Family members waiting for results of genetic test but are accused of,Family members awaiting genetic test results but are facing allegations of child,nan,I was writing to request more information regarding the diagnosis of O
933,i had shingles a while ago on my left forehead,I had shingles on my left forehead and above my,i had shingles a while ago on my left forehead,I had shingles a while ago on my left forehead,The pain was unbearable. I wonder if this situation will occur,I had shingles on my left forehead and above my
934,Two friends of ours have an 8yearold child with oppos,Two friends have an 8-year-old child with oppos,nan,8-year-old with Oppositional Defiant Disorder,nan,Friends of ours have an 8 year old boy with oppositional
935,My wife has allergy from all milk products and whenever she drinks,My wife has allergy to all dairy products. Whenever she drinks,My wife is allergic to all dairy products and every time she,My wife is allergic to all dairy products and every time she,My wife is allergic to all dairy products and she goes to,My wife has an allergy to all dairy products and every time
936,Is it true that more likely than not that plantar f,,nan,nan,nan,nan
937,i had two injections in my feet yesterday 52214 the,i had two injections in my feet yesterday 52214 the, yesterday i had two shots in my feet 52214 the,i had two injections in my feet yesterday 52214 the,I had two injections 52214 in my foot yesterday and,As of noon today February 5th 2014 my count has been
938,Can i take zinc and zinc citrate at the same time,,nan,nan,nan,nan
939,Do either of these help with skin keloids? What,PAD: Does one of these help with keloids,One of these helps with skin keloids. What would,Do any of these products help with skin keloids?,nan,Do any of these help with skin keloids? What
940,i was wondering if you can anwser some of my,,nan,nan,nan,nan
941,In 20062007 at the vamc in location i went,In 2006/2007 I underwent Hepatitis C treatment with,In 2006-2007 at the onsite VAMC I,In 20062007 at vamc at the place i followed,nan,In 2006-2007 at the vamc on location i
942,i work at the airport and i am in contact with hundreds,"""I want to be sure that I am not putting anyone","""I want to make sure I don't expose people to","""I want to make sure I don't expose people to","""I want to make sure I don't pass my sh","""I want to be sure I'm not exposing people to"
943,i m 37 years old and i m suffer from poor hunger,,nan,nan,nan,nan
944,There is no negative interaction between ginkgo and pycn,,nan,nan,nan,nan
945,i want to know about russel silver syndrome if i,,nan,nan,nan,nan
946,I need to fix my cross eyed. cross eye need to,,nan,nan,nan,nan
947,Hiv positive transgender women into hiv quality care is a,,nan,nan,nan,nan
948, i have had renal organ transplant surgery a year ago. What,,nan,nan,nan,nan
949,Oleandor can be ingested by touching the plant stems,,nan,nan,nan,nan
950,My granddaughter was born with klippeltranaunay,My granddaughter was born with Klippel-Tranaun,My niece was born with Klippeltranaunay syndrome,My granddaughter was born with Klippel-Tranaun,nan,nan
951,i have acute arthritic spinal stenosis. i have,I have acute arthritic spinal stenosis. What treatment,I have acute arthritic spinal stenosis. What treatment,nan,I have acute arthritis spinal stenosis. What treatment is recommended,I have acute arthritic spinal stenosis. What treatment
952,i am looking for the latest evidence based practice for assessing and,I am looking for the latest evidence-based guidelines for the,I am looking for the latest evidence-based guidelines for the,I am looking for the latest evidence-based practices regarding guidelines,I am looking for the latest evidence-based practice guidelines on,I am looking for the latest evidence-based practices on guidelines
953,i am looking for information related to the above myostatin,Myostatin-related muscle hypertrophy. Can you,Myostatin related muscle hypertrophy. Can you recommend,Myostatin-Related Muscular Hypertrophy.,Myostatin related muscle hypertrophy genetic disease. Can,I am looking for information related to the genetic condition of my
954,My wife has suffered this how can treat this. My wife,"My wife suffered from it, how can it be treated.",My wife suffered from this how can this be cured. my,"My wife suffered from this, how can i treat this.",nan,My wife has suffered from this how can I treat this?
955,i have an hernia i would love to take care off,,nan,nan,nan,nan
956,i have a boy 16 who just got out of a place,,nan,nan,nan,nan
957,My mother has been suffering from lgmd so i would,"My mother is suffering from LGMD, so I would like","My mother suffers from LGMD, so I would like to",My mother suffers from LGMD. I would like to ask,nan,nan
958,Can a long term untreated bladder infection aid in the cause of,,nan,nan,nan,nan
959,i want to find a doctor who specializes in burning mouth syndrome,I want to find a doctor who specializes in burning mouth syndrome,I would like to find a doctor who specializes in burning mouth,I want to find a doctor who specializes in burning mouth syndrome,I want to find a doctor who specializes in burning mouth syndrome,I want to find a doctor who specializes in burning mouth syndrome
960,A year and a half have been diagnosed with the genetic mutation,A year and a half ago I was diagnosed with the genetic,nan,nan,"""I want to know if there is something in the world",I would like to know if there is something in the world
961,Send in information about heart failer. send me information about,Send me information about heart failure. Send me information,nan, send me information about heart failure.,Send me information about heart failure. Send me information,Send me information about heart failure. Send me information
962,i am suffering from kartageners syndrome and wanted information,I suffer from Kartagener Syndrome and wanted information from you,I suffer from Kartageners syndrome and I wanted information from,nan,I have kartageners syndrome and would like to know,I have Kartageners syndrome and I would like some information
