,gold_questions,fqd_german,fqd_italian,fqd_french,fqd_chineese,fqd_spanish
964,migraine i wanted to know the treatment for fhm type,nan,nan,nan,nan,nan
965,i am a junior in high school and am currently doing ,a tax on junk food will reduce the number of obese people ,taxing junk food will reduce the number of obese people . why,i am in my first year of high school and am currently doing,taxing junk food would reduce the number of obese people . why,my name is name and I am a junior in high school 
966,once you open the bottle of releev how long is,how long does the bottle of Releev last after opening?,once opened the bottle of releev how long is it,"once you open the bottle of Releev, how long is",how long can releev last after opening the bottle,nan
967,grandfather had lens implants now he has dry macular retinal de,"grandfather had lens implants, now he has dry macular degeneration",my grandfather had lens implants now he has dry macular retinal,my grandfather had lens implants now he has dry retinal macular,my grandfather had a lens implant and now has dry macular de,grandfather had lens implants and now has dry retinal macular degeneration
968,i am a patient of less peristaltic movements which,nan,nan,nan,nan,nan
969,i am currently taking 20mg generic adderall immediate release,I have celiac disease and am sensitive to small amounts ,I have celiac disease and am sensitive to small amounts so,I have celiac disease and am sensitive to small amounts so,I am currently taking your generic Adderall 20mg immediate release,generic adderall immediate release 20mg from your company .
970,i took injection this night and the nurse said my blood is light,nan,nan,nan,nan,nan
971,the above omega 3 acid capsule is now available as a generic alternate,the above Omega-3 acid capsule is now available as a generic alternative,the omega 3 acid capsule is now available as a generic alternative ,nan,nan,the omega 3 acid capsule mentioned above is now available as a generic
972,factor 12 defeincy my gp has told me,nan,nan,nan,nan,nan
973,fibroadenomas my question is it can remove without surgery,fibroadenoma can be removed without surgery . ,"fibroadenoma, my question is can it be removed","i have fibroadenoma, my question is can","fibroadenoma can be removed without surgery, will taking",fibroadenoma can be removed without surgery? is it
974,will stem cell will be able to regrow foreskin,when can I regrow my foreskin using stem cells?,stem cells can regrow foreskinPAD>,can stem cells regrow foreskinPAD>,can stem cells grow my foreskin againPAD>,when will stem cells be able to regenerate it?PA
975,is the injection form of methotrexate gluten free thanks ,methotrexate injection form is gluten-free thanks to ,nan,is the injectable form of methotrexate gluten free thank,methotrexate is a gluten free form of methot,methotrexate is a gluten free form of methot
976,sirmadam i am writing you on behalf of name who,nan,nan,nan,nan,nan
977,i am looking for information on heat rash specifically can it look,"if information is available, I can come to the library to read",heat rash can look like a red line when it resolves,"if information is available, I can come to the library to read","if there is information available, I can go to a library","if there is information available, I can go to the library to"
978,the med narrows blood vessels can this med cause or effect,intraocular pressure has increased since I started taking rizatrip,the drug narrows the blood vessels this drug can cause or affect closed,can this medication cause or affect narrow-angle or wide-angle problems,I started taking Rizatriptan and noticed an increase in intra,the pressure inside my eye increases since I started taking rizatrip
979,hypothyroidism my doctor started me on levothy,nan,nan,nan,nan,nan
980,im using translator because i speak and write in spanish if,the maximum time one can spend before a cerebral aneurys,i am using a translator because i speak and write in,i use a translator as i speak and write in span,what is the maximum length of time it can take before a brain,how long can I wait before a brain aneurysm
981,a child i have been asked to work with has been diagnosed,a child I am supposed to work with has been diagnosed with this,a child i was asked to work with was diagnosed with this,a child I was asked to work with was diagnosed with this disease,a child I have been asked to care for has been diagnosed with,a child I was asked to work with was diagnosed with this condition
982,laser hair removal treatment i have excess hair growth on my neck and,laser hair removal treatment is safe and satisfactory for me or not .,laser hair removal treatment i have excess hair on my neck and ,nan,laser hair removal treatment I have excessive hair growth on my neck and ,nan
983,stem cells i have banked from my newborn babys um,stem cell treatment for spinal cord injury will help save my life .,stem cells i have stored from my newborn babys umbilical,stem cells saved from my newborn's umbilical cord tissue ,nan,stem cells collected from my newborn baby's umbilical cord tissue
984,my son was recently diagnosed with spg11 after over 15,my 24 year old son was recently diagnosed with SPG11 .,nan,nan,"son, 24, was recently diagnosed with spg11 .",nan
985,his sugar level is around 100 or 120 or so each time he,my friend is 35 years old and has diabetes for a year ,my friend is 35 and he has diabetes for a year and,my friend is 35 and he is diabetic for 1 year and,my friend is 35 and has been suffering from type 1 diabetes for 1,my friend is 35 years old and it has been 1 year of his
986,ciclopirox can be applied to infected toes ,ciclopirox can be applied to infected toes ,nan,ciclopirox is applied to the infected toes ,nan,i need to apply ciclopirox to my infected fingers
987,aarskog syndrome is linked to server astigmatism,MRI scans found four people with severe astigmatism in,i was diagnosed with aarskog syndrome when i,there are four people with Aarskog syndrome thanks for your time,my name is name and I am 21 years old . a,aarskog syndrome is linked to severe astigmatism
988,gerd im a 72 year old female and have divert,"GERD, 72, has diverticulosis,","gerd I suffer from diverticulosis, gas",GERD I am a 72 year old female and have diver,GERD is a 72 year old female with diverticular,nan
989,i got hurt in my left leg ankle almost 5 months ago ,nan,nan,nan,nan,nan
990,i have suffered ankylosing spondylitis problem,nan,nan,nan,nan,nan
991,pleease email me a llist of 100 all of,Iperiomed 63 Fluoride Concentrate Mouthwash,nan,iperiomed 63 fluoride concentrate mouthwash alcohol,nan,iperiomed 63 fluoride concentrate mouthwash alcohol
992,are there any skin creams that have positive effects on skin cancer which,nan,nan,nan,nan,nan
